HouseID,Title,Location,Price,Gross_Area,Topology
ID1a9La.html#6caddfc6e9,Apartamento T1 com varanda junto ao Instituto Superior Técnico,Arroios,370000,49,T1
ID1apz3.html#6caddfc6e9,Edifício SQUARE Bloco F 4ºD,"Rua B aos Jardins Braço de Prata , Marvila",675000,107.4,T2
ID19S6U.html#6caddfc6e9,"Unique Benfica, T3 espaçoso e cheio de luz, com amplas va...",São Domingos de Benfica,1220000,173.5,T3
ID19RuG.html#6caddfc6e9,Apartamento T1 com terraço perto da Avenida da Liberdade,Santo António,"853429,25",85,T1
ID18zXR.html#6caddfc6e9,Apartamento T4+1 com varanda e estacionamento na Estrela,Estrela,2135000,232.1,T4
ID1aqUe.html#6caddfc6e9,Edifício PARK Bloco D 1ºD,"Rua B aos Jardins Braço de Prata , Marvila",2400000,306.1,T4
ID1aLHa.html#6caddfc6e9,"Apartamento T2 com varanda e garagem na Praça de Espanha,...",Avenidas Novas,750000,106,T2
ID1609N.html#6caddfc6e9,Edíficio WEST - Apartamento T3 Bloco C-3ºD,"Largo Estação de Braço de Prata , Marvila",1025000,223,T3
ID18mQT.html#6caddfc6e9,"Apartamento T2 charmoso junto à Avenida da Liberdade, Lisboa",Santo António,495000,82,T2
ID1b6aT.html#6caddfc6e9,T2 em São Domingos de Benfica | Califa,"Rua Manuel Ferreira de Andrade , São Domingos de Benfica",275000,64,T2
ID1b45L.html#6caddfc6e9,Santo António - T2 Impecável,Santo António,685000,108,T2
ID1b0j5.html#6caddfc6e9,Apartamento T2 para venda,Beato,190000,66,T2
ID17FzM.html#6caddfc6e9,"PF26254, Apartamento T1, Lisboa",Avenidas Novas,520000,NA,T1
ID17FE5.html#6caddfc6e9,"PF25711, Apartamento T2, Lisboa",Alcântara,498200,NA,T2
ID195qZ.html#6caddfc6e9,"PF27935, Apartamento T0, Lisboa",Belém,400000,NA,T0
ID195qS.html#6caddfc6e9,"PF27944, Apartamento T2, Lisboa",Belém,1050000,NA,T2
ID195r4.html#6caddfc6e9,"PF27919, Apartamento T1",Belém,560000,NA,T1
ID1atk9.html#6caddfc6e9,"PF25739, Apartamento T0, Lisboa",Alcântara,265000,NA,T0
ID1aEZX.html#6caddfc6e9,"PF30126, Apartamento T3, Lisboa",Areeiro,1185000,NA,T3
ID17FDq.html#6caddfc6e9,"PF25678, Apartamento T2, Lisboa",Santa Maria Maior,775000,NA,T2
ID17FDQ.html#6caddfc6e9,"PF25710, Apartamento T1, Lisboa",Alcântara,399500,NA,T1
ID17FH7.html#6caddfc6e9,"PF25264, Apartamento T2, Lisboa",São Domingos de Benfica,641000,NA,T2
ID195qQ.html#6caddfc6e9,"PF27943, Apartamento T3, Lisboa",Belém,1250000,NA,T3
ID17Xsz.html#6caddfc6e9,"PF26055, Apartamento T2, Lisboa",Parque das Nações,820000,NA,T2
ID1a5Ul.html#c7ae59bdcc,"PF29247, Apartamento T1, Lisboa",Santa Maria Maior,560000,NA,T1
ID17FA7.html#c7ae59bdcc,"PF26261, Penthouse T4, Lisboa",Avenidas Novas,2700000,NA,T4
ID17FAA.html#c7ae59bdcc,"PF25809, Apartamento T2, Lisboa",Avenidas Novas,759000,NA,T2
ID1aEZT.html#c7ae59bdcc,"PF30117, Duplex T1, Lisboa",Areeiro,660000,NA,T1
ID1a5Un.html#c7ae59bdcc,"PF29248, Apartamento T0, Lisboa",Santa Maria Maior,500000,NA,T0
ID17FAy.html#c7ae59bdcc,"PF21558, Apartamento T2, Lisboa",Santo António,734400,NA,T2
ID1aeZB.html#c7ae59bdcc,Hotel em copropriedade - investimento Golden Visa 350 000€,Estrela,350000,25,T0
ID16p3N.html#c7ae59bdcc,"Charmoso apartamento T2 no Príncipe Real, Lisboa",Misericórdia,730200,77,T2
ID18C0K.html#c7ae59bdcc,Apartamento 2 Quartos,Santa Maria Maior,980000,172,T2
ID1a2XO.html#c7ae59bdcc,T3 de luxo com garagem e terraço nas Amoreiras,"Rua Aviador Plácido de Abreu , Campolide",1795000,158,T3
ID18C1h.html#c7ae59bdcc,Apartamento 1 Quartos,Santa Maria Maior,370000,46,T0
ID18BZi.html#c7ae59bdcc,Apartamento 1 Quartos,"Calçada da Glória , Santo António",850000,108.65,T1
ID194zq.html#c7ae59bdcc,T1 de luxo com garagem nas Amoreiras,"Rua Aviador Plácido de Abreu , Campolide",490000,51.46,T1
ID18BYC.html#c7ae59bdcc,Apartamento 3 Quartos,"Calçada da Glória , Santo António",1473000,150,T3
ID18C16.html#c7ae59bdcc,Apartamento 1 Quartos,Santa Maria Maior,740000,127,T1
